235-056,5200
235-065,5200
235-069,5200
235-066,5200
235-075,2700
235-079,2700
235-076,2700
235-085,3600
235-089,3600
235-086,3600
235-105,10800
235-101,9200
235-104,9200
235-102,9200
235-103,10800
235-106,10800
235-115,14800
235-111,14800
235-114,14800
235-112,14800
235-113,14800
235-116,15800
235-221,17400
235-225,16700
235-226,17400
235-224,16700
235-223,16700
235-305-6,13100
235-301-6,10800
235-304-6,12500
235-302-6,9200
235-309-6,12500
235-303-6,12500
235-306-6,13100
245-309,34800
235-305,15800
235-301,14800
235-304,14800
235-302,14100
235-307,15800
235-303,14800
235-306,15800
235-308,15800
235-316,17400
235-125,17100
235-121,14800
235-124,14100
235-122,14100
235-123,14100
235-126,15800
235-231,17400
235-236,16700
235-233,17400
235-349,16700
235-135,26600
235-131,25600
235-134,23300
235-132,23300
235-133,25600
235-136,26600
235-211,30900
235-215,28600
235-216,30900
235-213,30900
235-155-6,20000
235-151-6,19700
235-154-6,19700
235-152-6,19700
235-159-6,20000
235-153-6,19700
235-156-6,20000
245-319,56600
235-155,26600
235-151,25600
235-158,23300
235-152,23300
235-153,25600
235-156,26600
235-326,30900
235-435,15800
235-243,23300
235-145,26600
235-141,25600
235-144,23300
235-142,25600
235-143,25600
235-146,26600
235-201,30900
235-205,28600
235-203,30900
235-251,34200
235-202,34200
235-175,40100
235-173,40100
235-176,40100
235-465,26000
235-165,40100
235-161,40100
235-164,40100
235-162,40100
235-163,40100
235-195,70700
235-193,70700
235-196,70700
235-495,32200
235-185,62800
235-181,68100
235-186,81200
237-115,23300
237-114,23000
237-112,23000
237-113,23000
237-116,23300
237-125,23300
237-121,23000
237-124,23000
237-122,23000
237-123,23000
237-126,23300
237-135,46700
237-131,43400
237-134,43400
237-132,43400
237-133,43400
237-136,46700
237-145,43400
237-141,43400
237-144,46700
237-142,43400
237-143,43400
237-146,46700
237-165,74300
237-163,70700
235-265,1 04300
235-263,1 04300
237-185,1 15100
235-275,1 37500
245-339,5 82000
245-901,6900
245-902,60200
245-903,1 30600
245-905,19000
245-904,24600
245-921,1600
245-911,32200
245-335,40800
215-125,3900
215-129,3900
215-123,3600
215-126,3600
215-135,4600
215-139,4600
215-133,4200
215-136,4200
215-119-6,2700
123-015,1600
123-014,1800
215-115,5200
215-119,5200
215-116,5200
215-031,20700
215-032,23300
215-033,20400
215-011,10800
215-012,11800
215-013,10200
215-045,14800
215-041,14800
215-044,14800
215-042,14800
215-043,14800
215-046,14800
215-029,10200
215-021,14800
215-022,14800
215-023,11800
215-026,14800
215-049,12500
215-006,10200
215-005,10200
215-009,10200
217-201,4200
217-115,21400
217-113,21400
217-119,21400
217-116,21400
217-145,28600
217-143,28600
217-149,28600
217-146,28600
217-125,28600
217-123,28600
217-129,28600
217-126,28600
217-135,36800
217-133,36800
217-139,36800
256-163,4900
256-161,3300
256-162,4200
256-154,5200
256-152,2700
256-153,3900
256-125,7500
256-122,7500
256-121,7500
256-123,7500
256-124,6200
256-127,11000
256-126,11000
256-416,6900
256-317-6,4600
256-313-6,7500
256-319-6,7500
331-211,1800
331-212,1100
331-252,1100
331-213,1000
331-251,2200
331-345,1700
331-346,1700
331-210,49600
331-112,1300
331-221,2500
331-113,1100
331-302,14800
331-305,19000
331-301,19000
331-304,19000
331-309,19000
331-303,19000
331-306,19000
331-325,19000
331-321,19000
331-324,14800
331-322,19000
331-329,19000
331-323,14800
331-326,19000
331-008,227
331-007,187
331-009,246
331-005,359
332-115,15269
332-117,28300
332-116,24000
332-118,53900
332-119,51600
332-120,52900
331-003,1379
331-001,392
331-012,655
331-013,622
331-015,688
303-076,4900
303-079,4900
303-082,1400
303-081,1400
303-087,3600
303-088,3600
303-089,2100
303-086,3600
303-099,2100
303-085,4900
303-083,2200
303-084,3000
303-075,1600
315-135,9800
315-139,9800
315-133,9800
315-136,9800
315-145,14800
315-147,14800
315-143,14800
315-146,14800
315-125,13500
315-126,13500
315-155,14800
315-151,14800
315-154,14800
315-152,14800
315-159,14800
315-153,14800
315-156,15800
315-115,13500
315-116,13500
315-166,21400
315-165,21400
315-185,18400
315-181,18400
315-182,18400
315-183,18400
315-186,18400
315-175,18400
315-176,18400
CC-1-14,115
CC-1-12,115
CC-1-11,115
315-000,3900
303-629,4900
303-625,4900
303-626,4900
323-619,37500
323-612,21400
323-613,21400
323-315,18400
323-319,18400
323-313,18400
323-316,18400
323-305,32900
