1551,291,501-321,NEON-NIGHT,10800,"Фигура ""Снеговик с лопатой"", размер 94*63 см NEON-NIGHT",шт,1,1,
1552,291,501-322,NEON-NIGHT,11800,"Фигура светодиодная ""Снеговик с лопатой"", размер 94*63 см NEON-NIGHT",шт,1,1,
1555,371,531-101,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"" высота 1,5м, диаметр кроны 1,8м, желтые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,2,
1556,371,531-102,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"", высота 1,5м, диаметр кроны 1,8м, красные светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,5,
1557,371,531-103,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"", высота 1,5м, диаметр кроны 1,8м, синие светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,1,
1558,371,531-104,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"", высота 1,5м, диаметр кроны 1,8м, зеленые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,5,
1559,371,531-105,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"", высота 1,5м, диаметр кроны 1,8м, белые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,5,
1560,371,531-106,NEON-NIGHT,63100,"Светодиодное дерево ""Сакура"", высота 1,5м, диаметр кроны 1,8м, фиолетовые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,4,
1561,371,531-121,NEON-NIGHT,94600,"Светодиодное дерево ""Сакура"", высота 2,4м, диаметр кроны 2,0м, желтые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,0,
1562,371,531-122,NEON-NIGHT,1 01400,"Светодиодное дерево ""Сакура"", высота 2,4м, диаметр кроны 2,0, красные светодиоды, IP 64, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,0,
1563,371,531-123,NEON-NIGHT,1 06600,"Светодиодное дерево ""Сакура"", высота 2,4м, диаметр кроны 2,0м, синие светодиоды, IP 64, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,4,
1564,371,531-124,NEON-NIGHT,94600,"Светодиодное дерево ""Сакура"", высота 2,4м, диаметр кроны 2,0м, зеленые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,0,
1565,371,531-125,NEON-NIGHT,1 06600,"Светодиодное дерево ""Сакура"", выстота 2,4м, диметр кроны 2,0м, белые светодиоды, IP 54, понижающий трансформатор в комплекте, NEON-NIGHT",шт,1,0,
